,Unnamed: 0,날짜,지역,누적확진,사망자,누적 격리해제,총 검사자,지역별인구수
0,0,20200217,서울,14,0,3,8718,9733655
1,1,20200217,부산,0,0,0,8718,3409932
2,2,20200217,대구,0,0,0,8718,2433568
3,3,20200217,인천,1,0,1,8718,2952689
4,4,20200217,광주,2,0,0,8718,1455705
5,5,20200217,대전,0,0,0,8718,1471858
6,6,20200217,울산,0,0,0,8718,1144563
7,7,20200217,세종,0,0,0,8718,344792
8,8,20200217,경기,11,0,4,8718,13288975
9,9,20200217,강원,0,0,0,8718,1538577
10,10,20200217,충북,0,0,0,8718,1597639
11,11,20200217,충남,0,0,0,8718,2119749
12,12,20200217,전북,1,0,1,8718,1812936
13,13,20200217,전남,1,0,1,8718,1859290
14,14,20200217,경북,0,0,0,8718,2653418
15,15,20200217,경남,0,0,0,8718,3355341
16,16,20200217,제주,0,0,0,8718,670508
18,18,20200218,서울,14,0,3,9773,9733655
19,19,20200218,부산,0,0,0,9773,3409932
20,20,20200218,대구,1,0,0,9773,2433568
21,21,20200218,인천,1,0,1,9773,2952689
22,22,20200218,광주,2,0,0,9773,1455705
23,23,20200218,대전,0,0,0,9773,1471858
24,24,20200218,울산,0,0,0,9773,1144563
25,25,20200218,세종,0,0,0,9773,344792
26,26,20200218,경기,12,0,6,9773,13288975
27,27,20200218,강원,0,0,0,9773,1538577
28,28,20200218,충북,0,0,0,9773,1597639
29,29,20200218,충남,0,0,0,9773,2119749
30,30,20200218,전북,1,0,1,9773,1812936
31,31,20200218,전남,1,0,1,9773,1859290
32,32,20200218,경북,0,0,0,9773,2653418
33,33,20200218,경남,0,0,0,9773,3355341
34,34,20200218,제주,0,0,0,9773,670508
36,36,20200219,서울,16,0,5,11188,9733655
37,37,20200219,부산,0,0,0,11188,3409932
38,38,20200219,대구,28,0,0,11188,2433568
39,39,20200219,인천,1,0,1,11188,2952689
40,40,20200219,광주,2,0,2,11188,1455705
41,41,20200219,대전,0,0,0,11188,1471858
42,42,20200219,울산,0,0,0,11188,1144563
43,43,20200219,세종,0,0,0,11188,344792
44,44,20200219,경기,12,0,6,11188,13288975
45,45,20200219,강원,0,0,0,11188,1538577
46,46,20200219,충북,0,0,0,11188,1597639
47,47,20200219,충남,0,0,0,11188,2119749
48,48,20200219,전북,1,0,1,11188,1812936
49,49,20200219,전남,1,0,1,11188,1859290
50,50,20200219,경북,5,0,0,11188,2653418
51,51,20200219,경남,0,0,0,11188,3355341
52,52,20200219,제주,0,0,0,11188,670508
